Title,Author,Published date,Format,Sale Price,Old Price,Category
Daisy Jones and The Six,Taylor Jenkins Reid,09 Jan 2020,Paperback,11.28,11.5,Art-Photography
"Love, Pamela",Pamela Anderson,31 Jan 2023,Hardback,18.99,24.5,Art-Photography
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,14 Jul 2022,Hardback,19.99,21.0,Art-Photography
I'm Glad My Mom Died,Jennette McCurdy,15 Sep 2022,Hardback,22.95,31.5,Art-Photography
Fleabag: The Scriptures,Phoebe Waller-bridge,13 May 2021,Paperback,14.54,21.0,Art-Photography
Music Theory For Young Children - Book 1,Ying Ying Ng,01 Jul 2015,Book,9.56,9.56,Art-Photography
Malibu Rising,Taylor Jenkins Reid,28 Apr 2022,Paperback,11.27,13.5,Art-Photography
Cinema Speculation,Quentin Tarantino,01 Nov 2022,Hardback,21.59,30.5,Art-Photography
"Piano Exam Pieces 2023 & 2024, ABRSM Grade 4",ABRSM,09 Jun 2022,Sheet music,13.29,13.29,Art-Photography
Fleabag: The Scriptures,Phoebe Waller-Bridge,26 Nov 2019,Hardback,26.99,28.5,Art-Photography
Diary of a Wimpy Kid: Diper OEverloede (Book 17),Jeff Kinney,25 Oct 2022,Hardback,13.77,16.5,Art-Photography
The Complete MAUS,Art Spiegelman,02 Oct 2003,Paperback,17.79,20.5,Art-Photography
Colour Clash,,02 Feb 2023,Paperback,18.82,24.5,Art-Photography
Still Pictures,Janet Malcolm,02 Feb 2023,Hardback,19.04,21.0,Art-Photography
Finding Me,Viola Davis,26 Apr 2022,Hardback,22.99,24.5,Art-Photography
Surface Decoration for Ceramics,Claire Ireland,30 Dec 2022,Paperback,23.98,24.5,Art-Photography
Q&A a Day,Potter Gift,26 Feb 2015,Hardback,14.95,21.5,Art-Photography
"Piano Exam Pieces 2023 & 2024, ABRSM Grade 1",ABRSM,09 Jun 2022,Sheet music,12.21,12.21,Art-Photography
Harry Potter Hogwarts Castle and Sticker Book,Running Press,11 Oct 2018,Mixed media product,10.26,13.5,Art-Photography
The Artist's Way,Julia Cameron,05 Nov 2020,Paperback,15.52,18.5,Art-Photography
The Other Side,Jennifer Higgie,02 Feb 2023,Hardback,26.28,27.0,Art-Photography
Textilepedia,,25 Jun 2020,Hardback,29.32,38.5,Art-Photography
Metric Pattern Cutting for Women's Wear 6e,W Aldrich,06 Apr 2015,Hardback,38.22,38.22,Art-Photography
Brazen,Julia Haart,19 Jan 2023,Paperback,9.45,11.5,Art-Photography
Retro Crochet Style,Savannah Price,05 Sep 2023,Paperback,23.5,23.5,Art-Photography
"Palette Perfect: Color Combinations Inspired by Fashion, Art and Style",Lauren Wager,09 Oct 2019,Paperback,18.96,25.0,Art-Photography
Restyle & Restitch for Little Ones,Linnea Larsson,24 Jan 2023,Paperback,14.8,16.0,Art-Photography
Sew It Yourself with DIY Daisy,Daisy Braid,04 Aug 2022,Paperback,17.69,21.0,Art-Photography
A Man & His Car,Matt Hranek,13 Oct 2020,Hardback,38.99,38.99,Art-Photography
Fashionpedia,Fashionary,06 Jan 2016,Hardback,32.78,44.5,Art-Photography
Japanese Knitting Stitch Bible,Hitomi Shida,10 Oct 2017,Paperback,16.99,17.5,Art-Photography
Peter Lindbergh. On Fashion Photography. 40th Ed.,Peter Lindbergh,09 Sep 2022,Hardback,26.96,26.96,Art-Photography
Close Knit,Laerke Bagger,08 Nov 2022,Hardback,24.49,32.67,Art-Photography
The Fitting Book,Gina Renee Dunham,02 Jun 2021,Paperback,35.19,37.9,Art-Photography
Embroidering the Everyday,Cas Holmes,07 Sep 2021,Hardback,27.65,28.0,Art-Photography
The Dress Diary of Mrs Anne Sykes,Kate Strasdin,23 Feb 2023,Hardback,27.0,27.0,Art-Photography
To the One I Love the Best,Ludwig Bemelmans,07 Mar 2023,Paperback,12.4,12.5,Art-Photography
Fabric,Victoria Finlay,03 Nov 2022,Paperback,13.34,13.5,Art-Photography
A Man and His Watch,Matthew Hranek,14 Nov 2017,Hardback,31.84,31.84,Art-Photography
Louis Vuitton Catwalk,Jo Ellison,26 Jul 2018,Hardback,55.62,72.5,Art-Photography
Ametora,W. David Marx,01 Dec 2015,Hardback,25.97,25.97,Art-Photography
Sewing Jeans,Johanna Lundstrom,03 Nov 2020,Paperback,27.95,29.0,Art-Photography
Wild Textiles,Alice Fox,06 Sep 2022,Hardback,26.99,28.5,Art-Photography
Stitch Stories,Cas Holmes,15 Sep 2015,Hardback,22.5,28.0,Art-Photography
