,Title,Author,Published date,Format,Sale Price,Old Price,Category
0,Daisy Jones and The Six,Taylor Jenkins Reid,09 Jan 2020,Paperback,11.28,11.5,Art-Photography
1,"Love, Pamela",Pamela Anderson,31 Jan 2023,Hardback,18.99,24.5,Art-Photography
2,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,14 Jul 2022,Hardback,19.99,21.0,Art-Photography
3,I'm Glad My Mom Died,Jennette McCurdy,15 Sep 2022,Hardback,22.95,31.5,Art-Photography
4,Fleabag: The Scriptures,Phoebe Waller-bridge,13 May 2021,Paperback,14.54,21.0,Art-Photography
5,Music Theory For Young Children - Book 1,Ying Ying Ng,01 Jul 2015,Book,9.56,9.56,Art-Photography
6,Malibu Rising,Taylor Jenkins Reid,28 Apr 2022,Paperback,11.27,13.5,Art-Photography
7,Cinema Speculation,Quentin Tarantino,01 Nov 2022,Hardback,21.59,30.5,Art-Photography
8,"Piano Exam Pieces 2023 & 2024, ABRSM Grade 4",ABRSM,09 Jun 2022,Sheet music,13.29,13.29,Art-Photography
9,Fleabag: The Scriptures,Phoebe Waller-Bridge,26 Nov 2019,Hardback,26.99,28.5,Art-Photography
10,Diary of a Wimpy Kid: Diper OEverloede (Book 17),Jeff Kinney,25 Oct 2022,Hardback,13.77,16.5,Art-Photography
11,The Complete MAUS,Art Spiegelman,02 Oct 2003,Paperback,17.79,20.5,Art-Photography
12,Colour Clash,Unknown,02 Feb 2023,Paperback,18.82,24.5,Art-Photography
13,Still Pictures,Janet Malcolm,02 Feb 2023,Hardback,19.04,21.0,Art-Photography
14,Finding Me,Viola Davis,26 Apr 2022,Hardback,22.99,24.5,Art-Photography
15,Surface Decoration for Ceramics,Claire Ireland,30 Dec 2022,Paperback,23.98,24.5,Art-Photography
16,Q&A a Day,Potter Gift,26 Feb 2015,Hardback,14.95,21.5,Art-Photography
17,"Piano Exam Pieces 2023 & 2024, ABRSM Grade 1",ABRSM,09 Jun 2022,Sheet music,12.21,12.21,Art-Photography
18,Harry Potter Hogwarts Castle and Sticker Book,Running Press,11 Oct 2018,Mixed media product,10.26,13.5,Art-Photography
19,The Artist's Way,Julia Cameron,05 Nov 2020,Paperback,15.52,18.5,Art-Photography
20,The Other Side,Jennifer Higgie,02 Feb 2023,Hardback,26.28,27.0,Art-Photography
21,Textilepedia,Unknown,25 Jun 2020,Hardback,29.32,38.5,Art-Photography
22,Metric Pattern Cutting for Women's Wear 6e,W Aldrich,06 Apr 2015,Hardback,38.22,38.22,Art-Photography
23,Brazen,Julia Haart,19 Jan 2023,Paperback,9.45,11.5,Art-Photography
24,Retro Crochet Style,Savannah Price,05 Sep 2023,Paperback,23.5,23.5,Art-Photography
25,"Palette Perfect: Color Combinations Inspired by Fashion, Art and Style",Lauren Wager,09 Oct 2019,Paperback,18.96,25.0,Art-Photography
26,Restyle & Restitch for Little Ones,Linnea Larsson,24 Jan 2023,Paperback,14.8,16.0,Art-Photography
27,Sew It Yourself with DIY Daisy,Daisy Braid,04 Aug 2022,Paperback,17.69,21.0,Art-Photography
28,A Man & His Car,Matt Hranek,13 Oct 2020,Hardback,38.99,38.99,Art-Photography
29,Fashionpedia,Fashionary,06 Jan 2016,Hardback,32.78,44.5,Art-Photography
30,Japanese Knitting Stitch Bible,Hitomi Shida,10 Oct 2017,Paperback,16.99,17.5,Art-Photography
31,Peter Lindbergh. On Fashion Photography. 40th Ed.,Peter Lindbergh,09 Sep 2022,Hardback,26.96,26.96,Art-Photography
32,Close Knit,Laerke Bagger,08 Nov 2022,Hardback,24.49,32.67,Art-Photography
33,The Fitting Book,Gina Renee Dunham,02 Jun 2021,Paperback,35.19,37.9,Art-Photography
34,Embroidering the Everyday,Cas Holmes,07 Sep 2021,Hardback,27.65,28.0,Art-Photography
